"MATNO","SESSION","GST111","GST112","CHM111","CHM113","MTH110","MTH112","PHY111","PHY113","GST121","GST122","GST123","CHM122","CHM124","MTH123","MTH125","PHY109","PHY124","FEES","PROBATION","OTHERS"
"ENG1002515",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002516",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002517",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002518",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002519",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002520",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002521",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002522",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002523",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002524",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002525",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002526",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002527",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002528",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002529",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002530",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002531",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002532",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002533",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002534",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002535",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002536",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002537",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002539",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002541",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002542",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002543",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002544",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002546",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002547",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002548",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002549",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002550",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002551",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002552",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002553",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002554",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002555",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002556",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002557",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002558",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002559",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002561",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002562",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002563",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002564",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002565",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002566",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002567",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002568",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002569",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002570",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002571",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002572",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002573",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002575",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002577",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002578",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002579",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002581",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002582",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002583",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002584",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002585",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002586",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002587",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002588",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002589",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002590",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002591",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002592",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002593",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002594",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002597",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002598",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002599",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002600",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002602",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002603",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002604",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002605",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002606",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002607",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002608",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002609",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002610",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002611",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG1002574",2010,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1,0,"0"
"ENG0902504",2010,"0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","0",0,1,"0"
"ENG0902507",2010,"1","0","1","0","1","1","0","0","0","0","0","1","0","0","1","0","1",0,1,"0"
"ENG0902515",2010,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","1",0,1,"0"
"ENG0902520",2010,"0","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0",0,1,"0"
"ENG0902527",2010,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1",0,1,"0"
"ENG0902530",2010,"0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","0","0",0,1,"0"
"ENG0902534",2010,"0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0",0,1,"0"
