"MATNO","SESSION","A","B","C","D","E","F","G","H","I","J","EMA481","MEE411","MEE421","MEE431","MEE441","MEE451","MEE461","MEE471","ELA401","CED300","UBT400","FEES","PROBATION","OTHERS"
"ENG0902581",2012,"CVE311",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902582",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902585",2012,"EMA281","MEE221","CVE311","EMA381","MEE321",,,,,,0,1,0,1,1,1,1,1,1,0,,1,0,"0"
"ENG0902586",2012,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902587",2012,"MEE321","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902588",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902592",2012,"MEE321","MEE361",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902595",2012,"ECP281","MEE351","MEE361",,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902598",2012,"EMA281","MEE351",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902599",2012,"MEE321","EEE317",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902600",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902601",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902602",2012,"CVE311","EEE317","PRE311",,,,,,,,1,1,1,0,1,1,1,1,1,1,,1,0,"0"
"ENG0902603",2012,"MEE321","PRE311",,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902604",2012,"EMA381","MEE351","PRE311",,,,,,,,1,1,1,1,1,1,1,0,1,1,,1,0,"0"
"ENG0902605",2012,"EMA281","MEE351","PRE311",,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902606",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902607",2012,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
"ENG0902608",2012,"MEE321",,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,0,"0"
