COURSE_CODE,SESSION,MATNO,SCORE
MEE211,2018,ENG1704255,50
MEE211,2018,ENG1704256,65
MEE211,2018,ENG1704257,81
MEE211,2018,ENG1704258,66
MEE211,2018,ENG1704259,65
MEE211,2018,ENG1704260,84
MEE211,2018,ENG1704261,36
MEE211,2018,ENG1704263,77
MEE211,2018,ENG1704264,62
MEE211,2018,ENG1704265,45
MEE211,2018,ENG1704266,70
MEE211,2018,ENG1704267,85
MEE211,2018,ENG1704268,62
MEE211,2018,ENG1704269,66
MEE211,2018,ENG1704270,80
MEE211,2018,ENG1704271,65
MEE211,2018,ENG1704272,39
MEE211,2018,ENG1704273,50
MEE211,2018,ENG1704274,63
MEE211,2018,ENG1704275,73
MEE211,2018,ENG1704276,46
MEE211,2018,ENG1704277,24
MEE211,2018,ENG1704278,57
MEE211,2018,ENG1704279,61
MEE211,2018,ENG1704280,78
MEE211,2018,ENG1704282,74
MEE211,2018,ENG1704284,75
MEE211,2018,ENG1704285,86
MEE211,2018,ENG1704286,78
MEE211,2018,ENG1704287,45
MEE211,2018,ENG1704288,66
MEE211,2018,ENG1704289,82
MEE211,2018,ENG1704290,61
MEE211,2018,ENG1704292,63
MEE211,2018,ENG1704293,57
MEE211,2018,ENG1704294,47
MEE211,2018,ENG1704295,71
MEE211,2018,ENG1704296,72
MEE211,2018,ENG1704297,62
MEE211,2018,ENG1704298,57
MEE211,2018,ENG1704299,55
MEE211,2018,ENG1704300,48
MEE211,2018,ENG1704302,45
MEE211,2018,ENG1704303,76
MEE211,2018,ENG1704305,82
MEE211,2018,ENG1704306,39
MEE211,2018,ENG1704307,64
MEE211,2018,ENG1704309,55
MEE211,2018,ENG1704310,87
MEE211,2018,ENG1704311,85
MEE211,2018,ENG1704313,74
MEE211,2018,ENG1704316,55
MEE211,2018,ENG1704317,75
MEE211,2018,ENG1704318,83
MEE211,2018,ENG1704319,58
MEE211,2018,ENG1704320,58
MEE211,2018,ENG1704321,45
MEE211,2018,ENG1704322,80
MEE211,2018,ENG1704323,83
MEE211,2018,ENG1704324,70
MEE211,2018,ENG1704325,60
MEE211,2018,ENG1704326,86
MEE211,2018,ENG1704327,62
MEE211,2018,ENG1704329,52
MEE211,2018,ENG1704330,92
MEE211,2018,ENG1704331,48
MEE211,2018,ENG1704332,47
MEE211,2018,ENG1704333,57
MEE211,2018,ENG1704334,53
MEE211,2018,ENG1704335,51
MEE211,2018,ENG1704336,83
MEE211,2018,ENG1704337,34
MEE211,2018,ENG1704338,84
MEE211,2018,ENG1704339,70
MEE211,2018,ENG1704340,45
MEE211,2018,ENG1704341,45
MEE211,2018,ENG1704342,53
MEE211,2018,ENG1704344,70
MEE211,2018,ENG1704345,54
MEE211,2018,ENG1704346,88
MEE211,2018,ENG1704347,59
MEE211,2018,ENG1704348,45
MEE211,2018,ENG1704349,70
MEE211,2018,ENG1704350,53
MEE211,2018,ENG1704351,87
MEE211,2018,ENG1704352,54
MEE211,2018,ENG1704353,87
MEE211,2018,ENG1704354,55
MEE211,2018,ENG1704355,45
MEE211,2018,ENG1704356,60
MEE211,2018,ENG1704357,64
MEE211,2018,ENG1704480,71
MEE211,2018,ENG1704515,72
MEE211,2018,ENG1707195,73
MEE211,2018,ENG1707206,55
MEE211,2018,ENG1707334,71
MEE211,2018,ENG1707690,67
MEE211,2018,ENG1707713,57
MEE211,2018,ENG1707716,67
MEE211,2018,ENG1707808,77
MEE211,2018,ENG1707835,92
MEE211,2018,ENG1707848,68
MEE211,2018,ENG1707865,80
MEE211,2018,ENG1707916,50
MEE211,2018,ENG1707947,64
MEE211,2018,ENG1707953,54
MEE211,2018,ENG1708897,48
MEE211,2018,ENG1708911,64
MEE211,2018,ENG1708912,49
MEE211,2018,ENG1708913,45
MEE211,2018,ENG1708914,58
MEE211,2018,ENG1708917,68
MEE211,2018,ENG1708918,70
MEE211,2018,ENG1709337,63
MEE211,2018,ENG1709669,55
MEE211,2018,ENG1709712,55
MEE211,2018,ENG1709779,61
MEE211,2018,ENG1805339,75
MEE211,2018,ENG1805341,45
MEE211,2018,ENG1805342,79
MEE211,2018,ENG1805367,45
MEE211,2018,ENG1805409,58
MEE211,2018,ENG1805414,81
MEE211,2018,ENG1805426,74
MEE211,2018,ENG1805429,74
MEE211,2018,ENG1805433,66
MEE211,2018,ENG1805435,51
MEE211,2018,ENG1805448,52
MEE211,2018,ENG1805452,50
MEE211,2018,ENG1805457,77
MEE211,2018,ENG1810523,52
MEE211,2018,ENG1810525,57
MEE211,2018,ENG1810526,55
MEE211,2018,ENG1810688,60
MEE311,2018,ENG1203141,58
MEE311,2018,ENG1303626,58
MEE311,2018,ENG1303645,72
MEE311,2018,ENG1303666,76
MEE311,2018,ENG1303679,45
MEE311,2018,ENG1303685,51
MEE311,2018,ENG1303810,58
MEE311,2018,ENG1306697,51
MEE311,2018,ENG1403742,50
MEE311,2018,ENG1403749,53
MEE311,2018,ENG1403756,45
MEE311,2018,ENG1403757,55
MEE311,2018,ENG1403792,18
MEE311,2018,ENG1403800,53
MEE311,2018,ENG1403807,57
MEE311,2018,ENG1403809,54
MEE311,2018,ENG1403811,49
MEE311,2018,ENG1403820,51
MEE311,2018,ENG1406986,55
MEE311,2018,ENG1407011,45
MEE311,2018,ENG1502862,65
MEE311,2018,ENG1503456,51
MEE311,2018,ENG1503878,45
MEE311,2018,ENG1503890,74
MEE311,2018,ENG1503900,53
MEE311,2018,ENG1503909,59
MEE311,2018,ENG1503914,49
MEE311,2018,ENG1503922,18
MEE311,2018,ENG1503923,56
MEE311,2018,ENG1503925,21
MEE311,2018,ENG1503928,52
MEE311,2018,ENG1503933,51
MEE311,2018,ENG1503936,49
MEE311,2018,ENG1503937,14
MEE311,2018,ENG1503938,47
MEE311,2018,ENG1503945,51
MEE311,2018,ENG1507644,51
MEE311,2018,ENG1507774,54
MEE311,2018,ENG1507777,18
MEE311,2018,ENG1507782,51
MEE311,2018,ENG1507785,75
MEE311,2018,ENG1508359,45
MEE311,2018,ENG1508360,45
MEE311,2018,ENG1508362,50
MEE311,2018,ENG1508364,49
MEE311,2018,ENG1508537,45
MEE311,2018,ENG1603842,66
MEE311,2018,ENG1604207,54
MEE311,2018,ENG1604210,67
MEE311,2018,ENG1604211,51
MEE311,2018,ENG1604213,56
MEE311,2018,ENG1604216,45
MEE311,2018,ENG1604217,51
MEE311,2018,ENG1604218,20
MEE311,2018,ENG1604219,74
MEE311,2018,ENG1604221,47
MEE311,2018,ENG1604222,21
MEE311,2018,ENG1604224,45
MEE311,2018,ENG1604225,19
MEE311,2018,ENG1604226,56
MEE311,2018,ENG1604227,45
MEE311,2018,ENG1604228,45
MEE311,2018,ENG1604229,51
MEE311,2018,ENG1604230,45
MEE311,2018,ENG1604231,69
MEE311,2018,ENG1604232,51
MEE311,2018,ENG1604233,61
MEE311,2018,ENG1604234,45
MEE311,2018,ENG1604235,66
MEE311,2018,ENG1604236,45
MEE311,2018,ENG1604238,69
MEE311,2018,ENG1604240,75
MEE311,2018,ENG1604241,76
MEE311,2018,ENG1604242,45
MEE311,2018,ENG1604243,51
MEE311,2018,ENG1604244,62
MEE311,2018,ENG1604245,60
MEE311,2018,ENG1604247,52
MEE311,2018,ENG1604248,49
MEE311,2018,ENG1604250,74
MEE311,2018,ENG1604251,47
MEE311,2018,ENG1604252,45
MEE311,2018,ENG1604254,62
MEE311,2018,ENG1604255,18
MEE311,2018,ENG1604256,45
MEE311,2018,ENG1604259,56
MEE311,2018,ENG1604260,60
MEE311,2018,ENG1604262,17
MEE311,2018,ENG1604264,21
MEE311,2018,ENG1604265,55
MEE311,2018,ENG1604266,73
MEE311,2018,ENG1604267,53
MEE311,2018,ENG1604268,18
MEE311,2018,ENG1604269,50
MEE311,2018,ENG1604271,63
MEE311,2018,ENG1604272,48
MEE311,2018,ENG1604273,68
MEE311,2018,ENG1604274,45
MEE311,2018,ENG1604275,45
MEE311,2018,ENG1604277,14
MEE311,2018,ENG1604279,45
MEE311,2018,ENG1604280,54
MEE311,2018,ENG1604281,48
MEE311,2018,ENG1604283,56
MEE311,2018,ENG1604284,51
MEE311,2018,ENG1604285,54
MEE311,2018,ENG1604286,49
MEE311,2018,ENG1604287,48
MEE311,2018,ENG1604288,60
MEE311,2018,ENG1604290,45
MEE311,2018,ENG1604291,74
MEE311,2018,ENG1604292,59
MEE311,2018,ENG1604294,49
MEE311,2018,ENG1604295,45
MEE311,2018,ENG1604348,53
MEE311,2018,ENG1604380,45
MEE311,2018,ENG1604420,55
MEE311,2018,ENG1606990,75
MEE311,2018,ENG1607666,62
MEE311,2018,ENG1607674,52
MEE311,2018,ENG1607771,50
MEE311,2018,ENG1607847,13
MEE311,2018,ENG1607960,53
MEE311,2018,ENG1608889,53
MEE311,2018,ENG1608893,49
MEE311,2018,ENG1609165,51
MEE311,2018,ENG1609284,45
MEE311,2018,ENG1609423,69
MEE311,2018,ENG1704291,45
MEE311,2018,ENG1704301,78
MEE311,2018,ENG1704304,45
MEE311,2018,ENG1704314,45
MEE311,2018,ENG1704331,47
MEE311,2018,ENG1704335,49
MEE311,2018,ENG1708915,49
MEE311,2018,ENG1708916,53
MEE311,2018,ENG1709338,46
MEE311,2018,ENG1709779,50
MEE311,2018,ENG1709844,76
ECP281,2018,ENG1805342,74
ENS211,2018,ENG1704268,49
EMA281,2018,ENG1707848,60
ENS211,2018,ENG1704267,60
ECP281,2018,ENG1704270,98
ECP281,2018,ENG1704311,98
EMA281,2018,ENG1707865,50
MTH110,2016,ENG1607457,75
MTH112,2016,ENG1607457,70
CHM111,2016,ENG1607457,62
PHY111,2016,ENG1607457,70
GST111,2016,ENG1607457,58
GST112,2016,ENG1607457,50
MTH123,2016,ENG1607457,50
MTH125,2016,ENG1607457,45
GST121,2016,ENG1607457,60
GST122,2016,ENG1607457,62
GST123,2016,ENG1607457,68
CHM122,2016,ENG1607457,74
PHY124,2016,ENG1607457,60
PHY113,2017,ENG1604278,45
MEE221,2018,ENG1707713,33
ELA401,2018,ENG1403796,53
CVE311,2018,ENG1604279,65
EMA481,2018,ENG1403815,56
ELA301,2018,ENG1604281,55
ELA201,2018,ENG1604290,55
ELA301,2018,ENG1604218,53
ELA301,2018,ENG1607457,57
EMA381,2018,ENG1704335,45
ELA301,2018,ENG1704335,55
ELA201,2018,ENG1709339,56
MEE221,2018,ENG1708914,45
EMA281,2018,ENG1707953,54
ELA301,2018,ENG1604348,63
PRE211,2018,ENG1810688,50
EEE211,2018,ENG1704261,38
PRE211,2018,ENG1704333,45
PRE211,2018,ENG1704340,55
CVE211,2018,ENG1607891,55
MEE211,2018,ENG1607891,45
EMA281,2018,ENG1607891,48
ENS211,2018,ENG1607891,22
MEE352,2017,ENG1203121,46
EEE212,2017,ENG1709779,68
MTH110,2012,ENG1205172,40
MTH112,2012,ENG1205172,43
CHM111,2012,ENG1205172,44
PHY111,2012,ENG1205172,50
GST111,2012,ENG1205172,64
GST112,2012,ENG1205172,64
MTH123,2012,ENG1205172,0
MTH125,2012,ENG1205172,43
GST121,2012,ENG1205172,74
GST122,2012,ENG1205172,74
GST123,2012,ENG1205172,64
ELA201,2018,ENG1503878,53
PHY109,2017,ENG1707865,70
PHY111,2017,ENG1707865,68
PHY113,2017,ENG1707865,68
PHY124,2017,ENG1707865,63
